epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,535.891,4.11195,3.8944,3.82755,0.0002,0.00071,0.00073,0.00029,4.68224,4.67138,3.27285,0.00329167,0.00329167,0.070375
2,1123.72,2.36885,1.70924,2.0007,0.32032,0.34246,0.31343,0.15139,2.09311,2.03257,1.61979,0.00629706,0.00629706,0.0400471
3,1716.68,2.0345,1.45172,1.59628,0.70034,0.36183,0.40862,0.22016,1.82671,1.93292,1.41221,0.00897246,0.00897246,0.00938912
4,2313.34,1.91698,1.30551,1.47295,0.54623,0.47563,0.45131,0.2499,1.7171,1.59298,1.32661,0.008515,0.008515,0.008515
5,2900.96,1.78839,1.15313,1.38271,0.49433,0.43698,0.46048,0.25828,1.70867,1.16208,1.28026,0.00802,0.00802,0.00802
6,3525.86,1.73278,1.06447,1.33157,0.54745,0.53159,0.50791,0.29085,1.5798,1.41871,1.22655,0.007525,0.007525,0.007525
7,4052.62,1.70442,1.02433,1.31142,0.58065,0.5149,0.49522,0.28775,1.65769,0.98375,1.22999,0.00703,0.00703,0.00703
8,4531.04,1.66234,0.97881,1.29337,0.5913,0.50607,0.53126,0.3084,1.57959,0.9074,1.2042,0.006535,0.006535,0.006535
9,5018.63,1.63048,0.94572,1.26837,0.60796,0.57678,0.56125,0.32806,1.53275,0.89118,1.18598,0.00604,0.00604,0.00604
10,5506.7,1.61785,0.91312,1.25418,0.64527,0.51842,0.55411,0.32544,1.52161,0.87078,1.18016,0.005545,0.005545,0.005545
11,6091.68,1.57107,0.87464,1.22864,0.60246,0.56052,0.55961,0.3366,1.52596,0.89993,1.17684,0.00505,0.00505,0.00505
12,6567,1.56661,0.86153,1.23561,0.64108,0.54962,0.55,0.32792,1.52649,0.84708,1.18299,0.004555,0.004555,0.004555
13,7033.39,1.55685,0.85368,1.21874,0.66085,0.55296,0.58514,0.35,1.5255,0.82906,1.16943,0.00406,0.00406,0.00406
14,7507.77,1.51898,0.8296,1.2086,0.64032,0.5534,0.57225,0.34307,1.5418,0.82174,1.17256,0.003565,0.003565,0.003565
15,7976.6,1.51704,0.82455,1.19944,0.6306,0.55181,0.56396,0.33774,1.51297,0.81531,1.16844,0.00307,0.00307,0.00307
16,8457.95,1.50894,0.81047,1.18719,0.65708,0.54823,0.57998,0.3528,1.4844,0.82719,1.15895,0.002575,0.002575,0.002575
17,8916.05,1.48603,0.79422,1.17927,0.68482,0.55914,0.58429,0.35164,1.49555,0.79374,1.1635,0.00208,0.00208,0.00208
18,9380.75,1.47069,0.78273,1.17292,0.70459,0.562,0.59491,0.36214,1.48346,0.7815,1.16067,0.001585,0.001585,0.001585
19,9855.46,1.4794,0.78012,1.17967,0.6866,0.55463,0.58981,0.36029,1.48094,0.78765,1.16075,0.00109,0.00109,0.00109
20,10320.3,1.43991,0.761,1.15556,0.69828,0.5656,0.58862,0.35935,1.47656,0.77633,1.15774,0.000595,0.000595,0.000595
